*****************************************  DIMERS  *****************************************
        ID                   E                  dE      dimer distance
       0:1      -1769.36865044         -0.00008817         53.88782844
       0:2      -1922.39280461         -0.00000143         51.06118102
       0:3      -2031.55540926          0.00005604         52.83379240
       0:4      -1922.40618581          0.00000354         48.37489797
       0:5      -1919.07636621         -0.00000291         48.24444273
       0:6      -2012.28769778          0.00000035         44.93573031
       0:7      -1879.88159856         -0.00000865         42.88042806
       0:8      -2087.18775858         -0.00007553         45.91120108
       0:9      -1883.19541260         -0.00000808         40.14387209
      0:10      -2012.29240907         -0.00000697         37.39081559
      0:11      -1977.95505648         -0.00003421         41.79948051
      0:12      -1922.39748972         -0.00000506         39.21215083
      0:13      -2166.41657912          0.00000800         45.33613148
      0:14      -1883.21103528         -0.00000125         43.15468911
      0:15      -1882.03396402         -0.00000537         46.06940335
      0:16      -1883.20778771          0.00000511         50.12388425
      0:17      -1992.37939786          0.00010204         50.34677842
      0:18      -2029.24458772          0.00000592         54.90238271
      0:19      -2087.20521382         -0.00013062         51.27267921
      0:20      -1882.01485255          0.00000124         55.04192538
      0:21      -1879.87629921         -0.00000117         54.19213409
      0:22      -1922.39366281          0.00000114         53.28731924
      0:23      -1882.01927877          0.00000329         48.46529518
      0:24      -2087.20787389         -0.00018401         45.55438235
      0:25      -1879.86712735          0.00000514         45.92003259
      0:26      -2202.50827472         -0.00000308         42.04144854
      0:27      -1765.65593276         -0.00000247         40.73473295
      0:28      -1882.01323430          0.00000448         40.24245135
      0:29      -1977.93779154         -0.00035651         37.14510549
      0:30      -1922.38485601         -0.00001430         33.66231279
      0:31      -1919.07776531          0.00002086         35.15785527
      0:32      -1973.11524540          0.00001955         30.08065453
      0:33      -1879.89843235         -0.00000417         30.28949923
      0:34      -1882.02368569          0.00000918         28.29691345
      0:35      -1919.06348230         -0.00003607         23.52646894
      0:36      -1883.21681714         -0.00001147         22.68585956
      0:37      -1922.39782360         -0.00007910         17.26386031
      0:38      -1883.22471042          0.00000618         19.03542847
      0:39      -2280.89256192         -0.00037900         13.59735832
      0:40      -1883.22813931         -0.00018424         15.95613592
      0:41      -1765.66579882          0.00020501         14.26188588
      0:42      -1922.40064594          0.00007498         15.65345780
      0:43      -1882.00912497          0.00014426         14.78130543
      0:44      -1804.82828610         -0.00073188         10.99573330
      0:45      -2087.20221922         -0.00686522         10.72462705
      0:46      -1765.64264644         -0.01060199          6.34626768
      0:47      -1977.93177926         -0.00825871         10.26858716
      0:48      -1919.06416737         -0.00043521         10.62564203
      0:49      -2110.28919324         -0.02014041          5.48729969
      0:50      -1922.40733944         -0.00797988          6.69906688
      0:51      -1879.87438063         -0.00050223         10.94317128
      0:52      -1977.95869545         -0.00263499         12.18746002
      0:53      -1977.95097335         -0.00218029          8.45681091
      0:54      -1922.38529591         -0.00039720         12.25782204
      0:55      -1919.06865436         -0.00018622         15.17750510
      0:56      -2087.20464866         -0.00083604         13.55331941
      0:57      -2110.26226082         -0.00007683         16.14276925
      0:58      -1922.39430921         -0.00010801         17.94435921
      0:59      -1973.11822980         -0.00006690         19.87764890
      0:60      -2166.41602272          0.00000012         20.19685179
      0:61      -1922.39208090         -0.00003055         21.29152332
      0:62      -1765.66179550         -0.00002565         23.90947715
      0:63      -1883.21177038         -0.00003167         23.23281713
      0:64      -1882.01768534          0.00002730         24.96720337
      0:65      -1919.07828964         -0.00001152         20.42443131
      0:66      -1977.96325430         -0.00079883         22.75034601
      0:67      -1883.20673443         -0.00004171         16.81492285
      0:68      -2035.20875348         -0.00001817         21.25483892
      0:69      -1973.10787859         -0.00007286         17.48504759
      0:70      -1883.19588216         -0.00002803         21.13161893
      0:71      -1765.65934056         -0.00011330         20.22191678
      0:72      -2031.57173897          0.00125291         20.17950684
      0:73      -2110.24832133         -0.00000452         24.21479711
      0:74      -2087.20242849         -0.00118533         23.58135641
      0:75      -2087.21805488         -0.00132438         22.51446533
      0:76      -2031.57026356          0.00053025         27.67025291
      0:77      -1804.83844574         -0.00002285         29.49601744
      0:78      -1883.18520150         -0.00002286         29.88488269
      0:79      -1977.95631272         -0.00036470         32.29972763
      0:80      -2012.30609146          0.00003257         27.41145762
      0:81      -2110.23979014         -0.00002564         24.55504642
      0:82      -1879.89421884          0.00000696         28.59101858
      0:83      -1879.88847845         -0.00001622         27.21352103
      0:84      -2110.25046508         -0.00001269         25.36147487
      0:85      -1973.11308161          0.00003632         28.29740227
      0:86      -2035.19273710         -0.00002188         26.66720083
      0:87      -2035.18812335         -0.00002031         22.86645963
      0:88      -2087.19878343         -0.00045462         28.89423112
      0:89      -1882.00179544          0.00001018         27.64371604
      0:90      -1992.40157708          0.00050239         31.35497329
      0:91      -1973.11902240         -0.00003275         31.05497742
      0:92      -2031.59173611          0.00044880         34.37835433
      0:93      -2031.58428723          0.00043922         34.31587459
      0:94      -1804.83820706         -0.00000649         30.04689066
      0:95      -2280.85167942          0.00003454         28.61717136
      0:96      -1977.93474542         -0.00043415         33.43008711
      0:97      -1883.23165369          0.00000588         29.45910186
      0:98      -2087.22429475         -0.00098434         25.29524648
      0:99      -1977.94617188         -0.00062192         29.25953760
     0:100      -2012.30053409          0.00003841         31.04916501
     0:101      -2202.51643063         -0.00003705         26.71844432
     0:102      -1804.86060741          0.00000216         25.05760971
     0:103      -1922.38609289          0.00003256         29.47173058
     0:104      -1804.83078052         -0.00000171         28.51776666
     0:105      -1804.84295889         -0.00004732         25.08495364
     0:106      -1922.38776795          0.00000796         25.93619135
     0:107      -2087.21086746         -0.00057250         31.07813581
     0:108      -1992.41253758          0.00065021         27.89699401
     0:109      -1883.21212028         -0.00003799         25.04566783
     0:110      -1977.94037003         -0.00050035         31.65971923
     0:111      -1879.88004003         -0.00001267         30.87438984
     0:112      -2110.25722120         -0.00002387         26.37488187
     0:113      -1922.39179822         -0.00002632         26.93990398
     0:114      -1804.84041617         -0.00000052         31.92203227
     0:115      -1977.94547298         -0.00038854         35.14722733
     0:116      -2031.56350214          0.00047712         31.27530447
     0:117      -1765.65079680          0.00000855         30.60796295
     0:118      -1765.65054779         -0.00002478         27.55658082
     0:119      -2012.28588984         -0.00002454         26.30842089
     0:120      -1922.37936481         -0.00001375         21.40645247
     0:121      -1804.83231646         -0.00000047         21.86865324
     0:122      -1883.22071114         -0.00004726         17.11128433
     0:123      -2035.20940007          0.00000978         19.78165150
     0:124      -1992.38329451          0.00278463         15.03282915
     0:125      -1804.83621397         -0.00000438         17.11972860
     0:126      -1919.07719698          0.00009820         16.51590890
     0:127      -1973.11567599         -0.00002307         18.46261090
     0:128      -1919.07148880         -0.00000191         19.02192244
     0:129      -1919.07372292          0.00002998         23.44854336
     0:130      -2087.21628955         -0.00074517         26.02726596
     0:131      -2031.57209292          0.00072757         28.37115989
     0:132      -2087.21187696         -0.00107047         25.05759195
     0:133      -2087.22092024         -0.00135615         22.35790389
     0:134      -2029.26040220          0.00004066         29.40536426
     0:135      -2280.87622125         -0.00001406         28.62590868
     0:136      -1922.40241719         -0.00004884         24.67884934
     0:137      -1922.39806860         -0.00000316         26.55630618
     0:138      -2029.25937623          0.00001558         32.48375269
     0:139      -2035.20050849         -0.00002475         28.87695815
     0:140      -1804.82044882         -0.00002735         28.33609132
     0:141      -1977.94586244         -0.00048620         33.06221697
     0:142      -2031.56820465          0.00045904         34.45298553
     0:143      -1973.09508695         -0.00004023         32.75111413
     0:144      -1992.38212284          0.00041424         33.53472601
     0:145      -2035.20920381         -0.00001676         29.39058105
     0:146      -1977.94213501         -0.00058412         26.74537854
     0:147      -1804.84045015          0.00000137         24.36989877
     0:148      -2035.21068151         -0.00006340         19.82847960
     0:149      -2035.19420468         -0.00002111         20.00686999
     0:150      -1922.39256186         -0.00047687         13.44983783
     0:151      -2031.56569376          0.00169040         14.25395428
     0:152      -1879.90572445         -0.01444511         10.00346653
     0:153      -1883.22012271         -0.00097556         12.86566392
     0:154      -2202.50882771         -0.00280327         10.01147876
     0:155      -1992.40030402         -0.00076705         13.72119268
     0:156      -1992.39600613         -0.00084580         12.48870883
     0:157      -1882.02103438          0.00001201         14.63539661
     0:158      -1919.06322679          0.00013003         12.44639908
     0:159      -1883.22248729         -0.00353051          8.16078748
     0:160      -1883.20721103         -0.00010533         10.97517670
     0:161      -1804.83782270          0.00044852         12.46419972
     0:162      -1879.86695742         -0.00001941         10.02081057
     0:163      -1973.11752752         -0.00961378          7.40020889
     0:164      -1922.40225693         -0.00042488         12.47232185
     0:165      -2280.86163869          0.00020120         13.75504962
     0:166      -2031.61182997         -0.03618949         10.09208236
     0:167      -1883.22218902         -0.00469623          9.91268412
     0:168      -1977.96767284         -0.00487485         12.46249321
     0:169      -1922.38378747          0.00006468         16.41753089
     0:170      -1879.87264897          0.00010561         16.75899003
